"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-01-03","2021-01-09",2021,101,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-01-10","2021-01-16",2021,151,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-01-17","2021-01-23",2021,201,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-01-24","2021-01-30",2021,202,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-01-31","2021-02-06",2021,100,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-02-07","2021-02-13",2021,251,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-02-14","2021-02-20",2021,101,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-02-21","2021-02-27",2021,61,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-02-28","2021-03-06",2021,99,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-03-07","2021-03-13",2021,112,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-03-14","2021-03-20",2021,70,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-03-21","2021-03-27",2021,70,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-03-28","2021-04-03",2021,99,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-04-04","2021-04-10",2021,99,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-04-11","2021-04-17",2021,75,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-04-18","2021-04-24",2021,99,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-04-25","2021-05-01",2021,94,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-05-02","2021-05-08",2021,77,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-05-09","2021-05-15",2021,150,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-05-16","2021-05-22",2021,101,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-05-23","2021-05-29",2021,99,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-05-30","2021-06-05",2021,110,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-06-06","2021-06-12",2021,97,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-06-13","2021-06-19",2021,91,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
